LON,LAT,EDO,CLAVE_SIH,NOMBRE,JUN
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de MÈx.",130.81
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de MÈx.",190.74
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de MÈx. SMN*",117.88
-99.211667,19.399167,DF,TNGDF,"Tri·ngulo, Cd. de MÈx.",115.3
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de MÈx.",127.26
-99.084722,19.440833,DF,TPNDF,"Tanque PeÒÛn, Cd. de MÈx.",134.11
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de MÈx.",165.35
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de MÈx.",170.43
-99.228611,19.436389,DF,TSJDF,"Tanque San JoaquÌn, Cd. de MÈx.",119.38
-99.264444,19.359722,DF,TSLDF,"Trif. Santa LucÌa, Cd. de MÈx.",149.58
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de MÈx.",78.73
-99.211667,19.510278,DF,VDCDF,"Vaso de Cristo, MÈx.",78.22
-104.066111,25.263333,DGO,AM2DR,"AgustÌn Melgar, Dgo. SMN*",12.75
-104.7,24,DGO,CAGDR,"Campo AgrÌcola, Dgo.",8.91
-104.8,24.516667,DGO,CB2DR,"Caboraca (hidro), Dgo.",26.03
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",18.03
-104.123333,26.521667,DGO,CEBDR,"Ceballos, Dgo.",15.54
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",36.93
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",34.53
-103.698889,24.871944,DGO,CNCDR,"CuencamÈ, Dgo.",11.51
-104.75,24.5,DGO,CNTDR,"Canatl·n, Dgo.",34.4
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",8.14
-103.960278,24.001667,DGO,FV2DR,"Francisco Villa (hidro), Dgo.",54.02
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",52
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",22.52
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",4.75
-105.955556,25.934722,DGO,GNCDR,"Guanacevit, Dgo.",17.91
-104.9225,24.803889,DGO,GUADR,"GuatimapÈ, Dgo",33.63
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",18.81
