LON,LAT,EDO,CLAVE,ESTACION,JUL
-104.123333,26.521667,DGO,CEBDR,"Ceballos, Dgo.",16.6
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",100.1
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",21.1
-103.698889,24.871944,DGO,CNCDR,"CuencamÈ, Dgo.",25
-104.75,24.5,DGO,CNTDR,"Canatl·n, Dgo.",85
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",83
-103.960278,24.001667,DGO,FV2DR,"Francisco Villa (hidro), Dgo.",102.5
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",104.5
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",29
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",72.1
-105.955556,25.934722,DGO,GNCDR,"Guanacevit, Dgo.",27
