LON,LAT,EDO,CLAVE_SIH,NOMBRE,ENE
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",3.05
-99.126111,19.285833,DF,PVCDF,"Planta de Bombeo Villa Coapa, Cd. de MÈx.",5.59
-99.143056,19.331944,DF,PXTDF,"Planta Xotepingo, Cd. de MÈx.",5.08
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque Tlalpan, Cd. de MÈx.",3.3
-99.17,19.4,DF,RCMDF,"Radio ComunicaciÛn, Cd. de MÈx.",5.08
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de MÈx.",16
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de MÈx.",5.08
-99.028889,19.338333,DF,SCMDF,"Santa Cruz Meyehualco, Cd. de MÈx.",30.73
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de MÈx.",0
-99.066667,19.466667,DF,SJADF,"San Juan de AragÛn, Cd. de MÈx.",7.8
-99.009722,19.281389,DF,SPPDF,"San Pedro Tl·huac, Cd. de MÈx.",2.28
-98.960556,19.320833,DF,SSCDF,"SubestaciÛn ElÈctrica Santa Catarina, Cd. de MÈx.",20.07
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de MÈx.",14.22
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de MÈx.",0.5
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de MÈx.",2.54
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de MÈx. SMN*",0
-99.211667,19.399167,DF,TNGDF,"Tri·ngulo, Cd. de MÈx.",0
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de MÈx.",1.02
-99.084722,19.440833,DF,TPNDF,"Tanque PeÒÛn, Cd. de MÈx.",8.38
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de MÈx.",3.56
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de MÈx.",2.54
-99.228611,19.436389,DF,TSJDF,"Tanque San JoaquÌn, Cd. de MÈx.",9.14
-99.264444,19.359722,DF,TSLDF,"Trif. Santa LucÌa, Cd. de MÈx.",2.03
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de MÈx.",6.86
-99.211667,19.510278,DF,VDCDF,"Vaso de Cristo, MÈx.",3.81
-104.493889,26.226389,DGO,APRDR,"Ing. BenjamÌn Ortega Cantero, Dgo.",0
-104.7,24,DGO,CAGDR,"Campo AgrÌcola, Dgo.",1.81
-104.8,24.516667,DGO,CB2DR,"Caboraca (hidro), Dgo.",3.01
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",3.02
-104.123333,26.521667,DGO,CEBDR,"Ceballos, Dgo.",9.22
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",3.51
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",2.93
-103.698889,24.871944,DGO,CNCDR,"CuencamÈ, Dgo.",3
-104.75,24.5,DGO,CNTDR,"Canatl·n, Dgo.",2.7
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",1.21
-103.960278,24.001667,DGO,FV2DR,"Francisco Villa (hidro), Dgo.",1.51
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",1.51
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",5.62
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",2.02
-105.955556,25.934722,DGO,GNCDR,"Guanacevit, Dgo.",10
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",0.5
-104.751944,23.960278,DGO,GVHDR,"Guadalupe Victoria, Dgo. (hidro)",0.5
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",7.8
-105.015833,25.594167,DGO,LCRDR,"L·zaro C·rdenas, Dgo.",5.35
-103.283889,25.068056,DGO,LFLDR,"La Flor, Dgo.",1.02
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",12.62
-104.246944,23.387778,DGO,MICHILIA,"La Michilia, Dgo. SMN*",5
-103.85,25.816667,DGO,MPMDR,"MapimÌ, Dgo.",6.01
-105.0475,23.899167,DGO,NAVDR,"NavÌos Viejos, Dgo.",19.9
-104.113889,25.225556,DGO,NZSDR,"Nazas, Dgo.",11.01
-104.655556,24.237222,DGO,PA2DR,"PeÒa del ¡guila, Dgo. (hidro)",1.2
-104.656667,24.203889,DGO,PAGDR,"PeÒa del ¡guila, Dgo.",1.2
