LON,LAT,EDO,CLAVE_SIH,NOMBRE,FEB
-105.015833,25.594167,DGO,LCRDR,"L·zaro C·rdenas, Dgo.",0
-103.283889,25.068056,DGO,LFLDR,"La Flor, Dgo.",0
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",4.5
-104.246944,23.387778,DGO,MICHILIA,"La Michilia, Dgo. SMN*",0
-103.85,25.816667,DGO,MPMDR,"MapimÌ, Dgo.",0.01
-105.0475,23.899167,DGO,NAVDR,"NavÌos Viejos, Dgo.",6.6
-104.113889,25.225556,DGO,NZSDR,"Nazas, Dgo.",0.01
-104.655556,24.237222,DGO,PA2DR,"PeÒa del ¡guila, Dgo. (hidro)",0.01
-104.656667,24.203889,DGO,PAGDR,"PeÒa del ¡guila, Dgo.",0.01
-104.558333,25.181944,DGO,RDODR,"Rodeo, Dgo.",0
-106.366667,26.133333,DGO,ROSDR,"La Rosilla, Dgo.",4
-105.443056,25.225,DGO,SACDR,"SalomÈ Acosta, Dgo.",0
-105.331111,26.433056,DGO,SANANTONIO,"San Antonio, Dgo. SGT*",0
