Lon,Lat,Clave,Edo,Est,Tmax
-104.67,23.87,SB2DR,DGO,Santiago Bayacora hidromÈtrica Dgo.,29.1
-104.75,23.96,GVHDR,DGO,Guadalupe Victoria Dgo.,26.2
-103.96,24,FV2DR,DGO,Francisco Villa hidromÈtrica Dgo.,28.5
-104.66,24.24,PA2DR,DGO,PeÒa del ¡guila hidromÈtrica Dgo.,26.0
-104.8,24.52,CB2DR,DGO,Caboraca hidromÈtrica Dgo.,23.3
-103.28,25.07,LFLDR,DGO,La Flor Coah.,32.9
-102.78,24.56,TGRDR,DGO,El Tigre Dgo.,32.4
-105.57,26.08,SRDDR,DGO,Sardinas Dgo.,30.8
-104.25,23.39,MICHILIA,DGO,La Michilia Dgo. SMN*,22.7
-104.7,24,CAGDR,DGO,Campo AgrÌcola Dgo.,28.6
-104.6,24.09,DURANGOob,DGO,Observatorio de Durango Dgo. SMN*,29.6
-104.5,24.79,SJNDR,DGO,San Juan del RÌo Dgo.,29.6
-106.37,26.13,ROSDR,DGO,La Rosilla Dgo.,21.8
-103.98,26.55,LAFLOR,DGO,La Flor de Jimulco Dgo. SMN*,32.4
-103.75,26.69,MAPIMI,DGO,MapimÌ Dgo. SMN*,33.4
-99.75,16.76,76805,GRO,Acapulco,34.5
-99.5,17.55,76762,GRO,Chilpancingo,30.4
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,33.7
-99.93,17.6,YXTGR,GRO,Yextla Gro.,27.2
-99.48,16.8,SNMGR,GRO,San Marcos Gro.,38.1
-100.52,18.08,AFIGR,GRO,AndrÈs Figueroa Gro.,34.5
-99.61,18.55,TAXGR,GRO,Taxco Gro.,25.4
-98.41,16.47,CNLGR,GRO,Cuajinicuilapa Gro.,31.6
-98.43,16.68,OMEGR,GRO,Ometepec Gro.,27.4
-99.24,16.76,LDGGR,GRO,Las Vigas Gro.,32.0
-99.8,16.8,ODAGR,GRO,Observatorio de Acapulco Gro.,34.6
-99.91,16.85,ACAGR,GRO,Acapulco Gro.,32.2
-99.1,16.95,AYUGR,GRO,Ayutla Gro.,31.8
