LON,LAT,EDO,CLAVE_SIH,NOMBRE,MAY
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de MÈx. SMN*",5.6
-99.211667,19.399167,DF,TNGDF,"Tri·ngulo, Cd. de MÈx.",13.46
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de MÈx.",33.76
-99.084722,19.440833,DF,TPNDF,"Tanque PeÒÛn, Cd. de MÈx.",29.46
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de MÈx.",32.25
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de MÈx.",9.4
-99.228611,19.436389,DF,TSJDF,"Tanque San JoaquÌn, Cd. de MÈx.",18.8
-99.264444,19.359722,DF,TSLDF,"Trif. Santa LucÌa, Cd. de MÈx.",38.85
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de MÈx.",21.33
-99.211667,19.510278,DF,VDCDF,"Vaso de Cristo, MÈx.",13.46
-104.066111,25.263333,DGO,AM2DR,"AgustÌn Melgar, Dgo. SMN*",0.25
-104.8,24.516667,DGO,CB2DR,"Caboraca (hidro), Dgo.",8
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",20.17
-104.123333,26.521667,DGO,CEBDR,"Ceballos, Dgo.",1
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",0.91
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",0.01
-103.698889,24.871944,DGO,CNCDR,"CuencamÈ, Dgo.",4
-104.75,24.5,DGO,CNTDR,"Canatl·n, Dgo.",7.8
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",0
-103.960278,24.001667,DGO,FV2DR,"Francisco Villa (hidro), Dgo.",0
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",7
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",2.5
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",0
-104.9225,24.803889,DGO,GUADR,"GuatimapÈ, Dgo",2
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",0
-104.751944,23.960278,DGO,GVHDR,"Guadalupe Victoria, Dgo. (hidro)",0
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",4.2
-105.015833,25.594167,DGO,LCRDR,"L·zaro C·rdenas, Dgo.",0.01
-103.283889,25.068056,DGO,LFLDR,"La Flor, Dgo.",5
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",0
-104.246944,23.387778,DGO,MICHILIA,"La Michilia, Dgo. SMN*",0
-105.0475,23.899167,DGO,NAVDR,"NavÌos Viejos, Dgo.",0
-104.655556,24.237222,DGO,PA2DR,"PeÒa del ¡guila, Dgo. (hidro)",0
-104.656667,24.203889,DGO,PAGDR,"PeÒa del ¡guila, Dgo.",0
-105.443056,25.225,DGO,SACDR,"SalomÈ Acosta, Dgo.",0
-104.673889,23.873333,DGO,SB2DR,"Santiago Bayacora (hidro), Dgo.",0
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",0
-103.353056,24.469167,DGO,SCLDR,"Santa Clara, Dgo.",2.5
-103.079722,24.608333,DGO,SELDR,"Santa Elena, Dgo.",0.01
