LON,LAT,ESTADO,CLAVE_SIH,NOMBRE,ENE
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, D.F.",19.1
-99.133889,19.403333,DF,MCRDF,"M. Carrillo, D.F.",0
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, D.F.",2.8
-99.233056,19.187778,DF,MZTDF,"C. Mezontepec, D.F.",4
-99.096389,19.316389,DF,OCSDF,"Oficina CAVM Sur, D.F.",9.7
-99.100278,19.379167,DF,PBADF,"P. B. Aculco, D.F.",2.8
-99.057778,19.433333,DF,PBCDF,"P. B. Churubusco L., D.F.",10.7
-99.119444,19.486667,DF,PBLDF,"P. B. Linda Vista, D.F.",3
-99.037778,19.38,DF,PBODF,"P. B. U. E. de Oriente, D.F.",15
-99.170556,19.435556,DF,PBTDF,"P. B. Tizoc, D.F.",20.8
-99.2,19.413056,DF,PCHDF,"Pta. Chapultepec, D.F.",12.9
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, D.F.",1.5
-99.076389,19.336944,DF,PLEDF,"P. T. La Estrella, D.F.",14.2
-99.068333,19.420278,DF,PLMDF,"P. B. LÛpez Mateos, D.F.",10.7
-99.126389,19.365278,DF,PMLDF,"P. B. Municipio Libre, D.F.",8.9
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, D.F.",14
-99.154444,19.513056,DF,PRMDF,"P. T. RÌo Magdalena, D.F.",3.8
-99.154444,19.513056,DF,PRRDF,"P. T. RÌo Remedios, D.F.",0
-99.023056,19.299167,DF,PSCDF,"P. T. Santa Catarina, D.F.",7.9
-99.163889,19.468889,DF,PSNDF,"P. B. Nueva Santa MarÌa, D.F.",0
-99.171111,19.263056,DF,PSPDF,"P. San Pedro M·rtir, D.F.",6.3
-99.190278,19.509167,DF,PTRDF,"P. T. Rosario, D.F.",7.4
-99.126111,19.285833,DF,PVCDF,"P. B. Villa Coapa, D.F.",2
-99.143056,19.331944,DF,PXTDF,"Planta Xotepingo, D.F.",6.1
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque Tlalpan, D.F.",15
-99.17,19.4,DF,RCMDF,"Radio ComunicaciÛn, D.F.",12.7
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, D.F.",10.2
-99.028889,19.338333,DF,SCMDF,"Santa Cruz Meyehualco, D.F.",26.4
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, D.F.",3
-99.066667,19.466667,DF,SJADF,"San Juan de AragÛn, D.F.",8.5
-99.009722,19.281389,DF,SPPDF,"San Pedro Tl·huac, D.F.",4.6
-98.960556,19.320833,DF,SSCDF,"S. Elec. Santa Catarina, D.F.",17.3
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, D.F.",1.5
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, D.F.",5.6
-99.246389,19.333889,DF,TELDF,"Tanque El Lienzo, D.F.",20.3
-99.098889,19.385556,DF,TEZDF,"Tezontle, D.F.  SMN*",9.4
-99.211667,19.399167,DF,TNGDF,"Tri·ngulo, D.F.",15.8
-99.135833,19.199444,DF,TPJDF,"Topilejo, D.F.",6.3
-99.084722,19.440833,DF,TPNDF,"Tanque PeÒÛn, D.F.",12.2
-99.2125,19.361944,DF,TRGDF,"Tarango, D.F.",10.9
-99.248611,19.316667,DF,TSFDF,"T. San Francisco, D.F.",24.4
-99.228611,19.436389,DF,TSJDF,"T. San JoaquÌn, D.F.",8.6
-99.264444,19.359722,DF,TSLDF,"Trif. Santa Lucia, D.F.",8.4
-98.970833,19.210278,DF,TTLDF,"Tetelco, D.F.",6.6
-104.493889,26.226389,DGO,APRDR,"BenjamÌn Ortega, Dgo.",0
-104.7,24,DGO,CAGDR,"Campo AgrÌcola, Dgo.",11.8
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",0
-104.123333,26.521667,DGO,CEBDR,"Ceballos, Dgo.",0
-104.121111,24.4375,DGO,CGVDR,"Cd. Guadalupe Victoria, Dgo.",0
-103.521667,25.533333,DGO,CLRDR,"Cd. Lerdo, Dgo.",0
-103.698889,24.871944,DGO,CNCDR,"Cuencame, Dgo.",7
-104.75,24.5,DGO,CNTDR,"Canatl·n, Dgo.",8.9
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",5.5
-103.960278,24.001667,DGO,FV2DR,FRANCISCO VILLA (HIDRO),8
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",8
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",0
-105.25,25.5,DGO,GESDR,"Gral. Escobedo, Dgo.",0
-105.955556,25.934722,DGO,GNCDR,"Guanacevit, Dgo.",0
-104.751944,23.960278,DGO,GVHDR,"Guadalupe Victoria, Dgo. (hidro)",8.5
-105.015833,25.594167,DGO,LCRDR,"L·zaro C·rdenas, Dgo.",0
-103.283889,25.068056,DGO,LFLDR,"La Flor, Dgo.",0
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo.  SMN*",1.5
-104.246944,23.387778,DGO,MICHILIA,"La Michilia, Dgo. SMN*",13.8
-103.85,25.816667,DGO,MPMDR,"Mapimi, Dgo.",0
-104.113889,25.225556,DGO,NZSDR,"Nazas, Dgo.",0
-104.655556,24.237222,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),6.1
-104.656667,24.203889,DGO,PAGDR,"PeÒa del ¡guila, Dgo.",8.2
-104.558333,25.181944,DGO,RDODR,"Rodeo, Dgo.",0
-106.366667,26.133333,DGO,ROSDR,"La Rosilla, Dgo.",0
-105.443056,25.225,DGO,SACDR,"Salome Acosta, Dgo.",0
-105.331111,26.433056,DGO,SANANTONIO,"San Antonio, Dgo. SGT*",0
